company;Contacté;Notes;website_url;activity_sector;attributed_sale;status
capgemini engineering;Non;;https://www.capgemini.com/fr-fr/notre-groupe/nous-connaitre/nos-marques/capgemini-engineering/;Recruitment;;
candia;Non;;https://www.candia.fr/;Other;;
caisse des dépôts et consignations;Non;;https://www.caissedesdepots.fr/;Other;;
caceis;Non;;https://www.caceis.com/fr/;Other;;
cabinet de recrutement de travailleurs handicapés;Non;;https://www.defirh.fr/;Recruitment;;
brunet;Non;;https://www.brunet-groupe.fr/;Recruitment;;
credit industriel et commercial;Non;;https://www.cic.fr/fr/index.html;Other;;
crit france;Non;;https://www.crit-job.com/;Recruitment;;
easyreprise;Non;;https://www.easyreprise.com/;Other;;
easylife;Non;;https://www.easy-life.fr/;Other;;
département de l'essonne;Non;;https://www.essonne.fr/;Other;;
drfip paris;Non;;https://lannuaire.service-public.fr/navigation/ile-de-france/paris/dr_fip;Other;;
dr martens;Non;;https://www.drmartens.com/fr/fr/;Other;;
distriplus;Non;;https://www.distriplus.org/;Recruitment;;
disneyland paris;Non;;https://www.disneylandparis.com/fr-fr/;Other;;
direction des solidarités de la ville de paris;Non;;https://www.paris.fr/dossiers/centre-d-action-sociale-de-la-ville-de-paris-casvp-23;Other;;
diot-siaci;Non;;https://www.diot-siaci.com/;Other;;
digital college;Non;;https://digital-college.fr/;Formation/Education;;
dfm;Non;;https://dfm.fr/;Other;;
determinant;Non;;https://dictionnaire.lerobert.com/guide/qu-est-ce-qu-un-determinant;Other;;
destia;Non;;https://www.destia.fr/;Recruitment;;
deskeo;Non;;https://www.deskeo.com/fr/;Other;;
delacommune et dumont sccc;Non;;https://delacommune-dumont.com/sccc/;Other;;
deichmann;Non;;https://www.deichmann.com/FR/fr/shop/welcome.html;Other;;
daven partners;Non;;https://fr.linkedin.com/company/daven-partners-consulting;Other;;
danew electronics;Non;;https://danew.fr/;Other;;
daimler buses france;Non;;https://locations.daimlertruck.com/en/career/locations/detail/sarcelles-daimler-buses-france-;Recruitment;;
cuisines aviva clichy;Non;;https://www.pagesjaunes.fr/annuaire/clichy-92/aviva;Other;;
crédit agricole immobilier;Non;;https://www.ca-immobilier.fr/;Other;;
crédit agricole;Non;;https://www.credit-agricole.fr/;Other;;
croix-rouge française;Non;;https://www.croix-rouge.fr/;Other;;
brevo;Non;;https://www.brevo.com/fr/;Other;;
bpce achats;Non;;https://groupebpce.com/annuaire-des-entreprises/bpce-achats;Other;;
eiffage branche metal;Non;;https://www.eiffagemetal.com/;Other;;
apleona;Non;;https://apleona.ch/fr/;Other;;
apave;Non;;https://www.apave.com/fr-FR/;Formation/Education;;
angelina;Non;;https://www.angelina-paris.fr/;Other;;
ami paris;Non;;https://www.amiparis.com/fr;Other;;
american hospital of paris;Non;;https://www.american-hospital.org/;Other;;
amalo recrutement;Non;;https://www.amalo-recrutement.fr/;Recruitment;;
altermundi;Non;;https://altermundi.com/;Other;;
alten;Non;;https://www.alten.fr/;Recruitment;;
altarea management;Non;;https://www.altarea.com/;Other;;
all technics communication;Non;;https://alltechnics.fr/;Formation/Education;;
aljt;Non;;https://www.aljt.com/;Other;;
airsup;Non;;https://www.airsup.fr/;Formation/Education;;
bouygues construction;Non;;https://www.bouygues-construction.com/;Other;;
airap sa;Non;;http://www.airap.fr/;Other;;
aides;Non;;http://www.aides.org/;Other;;
agence profil paris;Non;;https://www.profil.fr/fr;Recruitment;;
agence mg;Non;;https://agencemg.fr/;Other;;
agence alizée hôtesses;Non;;https://www.alizeehotesses.com/;Recruitment;;
affaires étrangères et du développement international;Non;;https://www.diplomatie.gouv.fr/;Other;;
admr;Non;;https://www.admr.org/;Other;;
action contre la faim;Non;;https://www.actioncontrelafaim.org/;Other;;
abc liv;Non;;https://www.abcliv.fr/;Other;;
aptitude experts;Non;;https://aptitude-experts.com/;Recruitment;;
arc'teryx;Non;;https://arcteryx.com/ie/fr/;Other;;
boralex;Non;;https://www.boralex.com/fr/;Other;;
bnp paribas;Non;;https://mabanque.bnpparibas/;Other;;
biocodex;Non;;https://www.biocodex.fr/fr/;Other;;
besins international;Non;;https://www.besins-healthcare.fr/;Other;;
bene gmbh;Non;;https://bene.com/;Other;;
bene bono;Non;;https://benebono.fr/;Other;;
beeline group;Non;;https://jobs.beeline-group.com/?locale=fr_FR;Other;;
beautéprivée;Non;;https://www.beauteprivee.fr/;Other;;
beaumarly;Non;;https://beaumarly.com/;Other;;
banque palatine;Non;;https://www.palatine.fr/;Other;;
banque delubac et compagnie;Non;;https://www.delubac.com/fr/;Other;;
axa en france;Non;;https://www.axa.fr/qui-sommes-nous.html;Other;;
avenir rh;Non;;https://www.avenir-rh.com/;Recruitment;;
auto-entrepreneur;Non;;https://www.autoentrepreneur.urssaf.fr/;Other;;
audioptic;Non;;https://monportail.audioptic.fr/;Other;;
audiens;Non;;https://www.audiens.org/accueil.html;Other;;
auchan hypermarché sas;Non;;https://www.pappers.fr/entreprise/auchan-hypermarche-410409460;Other;;
